MiniDOT Logger Concatenated Data File,,,,,,,
Sensor:             7450-540235,,,,,,,
Concatenation Date: 2023Jun13 11:05:23 GMT-08:00,,,,,,,
,,,,,,,
DO concentration compensated for salinity: 0.0 (ppt),,,,,,,
Saturation computed at elevation: 0.0 (meter),,,,,,,
,,,,,,,
            Unix Timestamp,               UTC_Date_&_Time,                     GMT-08:00,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
1680066180,           2023-03-29 05:03:00,           2023-03-28 21:03:00,3.47,12.908,10.412,98.613929,0.929
1680066480,           2023-03-29 05:08:00,           2023-03-28 21:08:00,3.47,12.899,10.392,98.404677,0.928
1680066780,           2023-03-29 05:13:00,           2023-03-28 21:13:00,3.47,12.881,10.413,98.563797,0.929
1680067080,           2023-03-29 05:18:00,           2023-03-28 21:18:00,3.47,12.899,10.388,98.3668,0.928
1680067380,           2023-03-29 05:23:00,           2023-03-28 21:23:00,3.47,12.881,10.404,98.478608,0.929
1680067680,           2023-03-29 05:28:00,           2023-03-28 21:28:00,3.47,12.881,10.41,98.5354,0.929
1680067980,           2023-03-29 05:33:00,           2023-03-28 21:33:00,3.47,12.864,10.406,98.46004,0.929
1680068280,           2023-03-29 05:38:00,           2023-03-28 21:38:00,3.47,12.855,10.413,98.506408,0.929
1680068580,           2023-03-29 05:43:00,           2023-03-28 21:43:00,3.47,12.846,10.404,98.401422,0.928
1680068880,           2023-03-29 05:48:00,           2023-03-28 21:48:00,3.47,12.82,10.432,98.608764,0.929
1680069180,           2023-03-29 05:53:00,           2023-03-28 21:53:00,3.48,12.82,10.412,98.419713,0.929
1680069480,           2023-03-29 05:58:00,           2023-03-28 21:58:00,3.48,12.793,10.422,98.454609,0.929
1680069780,           2023-03-29 06:03:00,           2023-03-28 22:03:00,3.48,12.793,10.435,98.577418,0.929
1680070080,           2023-03-29 06:08:00,           2023-03-28 22:08:00,3.48,12.811,10.419,98.46601,0.929
1680070380,           2023-03-29 06:13:00,           2023-03-28 22:13:00,3.48,12.785,10.427,98.484168,0.929
1680070680,           2023-03-29 06:18:00,           2023-03-28 22:18:00,3.48,12.793,10.43,98.530184,0.929
1680070980,           2023-03-29 06:23:00,           2023-03-28 22:23:00,3.48,12.776,10.435,98.53983,0.929
1680071280,           2023-03-29 06:28:00,           2023-03-28 22:28:00,3.48,12.776,10.427,98.464285,0.929
1680071580,           2023-03-29 06:33:00,           2023-03-28 22:33:00,3.48,12.776,10.429,98.483171,0.929
1680071880,           2023-03-29 06:38:00,           2023-03-28 22:38:00,3.48,12.758,10.429,98.443399,0.928
1680072180,           2023-03-29 06:43:00,           2023-03-28 22:43:00,3.48,12.767,10.436,98.529374,0.929
1680072480,           2023-03-29 06:48:00,           2023-03-28 22:48:00,3.48,12.749,10.433,98.461264,0.929
1680072780,           2023-03-29 06:53:00,           2023-03-28 22:53:00,3.48,12.749,10.433,98.461264,0.929
1680073080,           2023-03-29 06:58:00,           2023-03-28 22:58:00,3.48,12.74,10.43,98.413066,0.929
1680073380,           2023-03-29 07:03:00,           2023-03-28 23:03:00,3.48,12.732,10.438,98.470862,0.929
1680073680,           2023-03-29 07:08:00,           2023-03-28 23:08:00,3.48,12.732,10.436,98.451994,0.929
1680073980,           2023-03-29 07:13:00,           2023-03-28 23:13:00,3.48,12.723,10.442,98.48869,0.929
1680074280,           2023-03-29 07:18:00,           2023-03-28 23:18:00,3.48,12.723,10.438,98.450963,0.929
1680074580,           2023-03-29 07:23:00,           2023-03-28 23:23:00,3.48,12.714,10.446,98.506505,0.929
1680074880,           2023-03-29 07:28:00,           2023-03-28 23:28:00,3.48,12.714,10.437,98.421634,0.929
1680075180,           2023-03-29 07:33:00,           2023-03-28 23:33:00,3.48,12.705,10.437,98.401738,0.928
